with_zx,span,comp_state,prefix,time,data,mrt_file,status
1,1024,uncomp,117.240.10.0/24,0.530,314332,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,120.28.164.0/24,6.586,18912420,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,120.28.164.0/24,1.607,2144604,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,120.28.164.0/24,0.533,351980,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,122.203.177.0/24,6.959,19045636,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,122.203.177.0/24,1.649,2364700,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,122.203.177.0/24,0.402,244828,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,125.27.12.0/24,6.611,19341028,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,125.27.12.0/24,0.638,347636,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,125.27.12.0/24,0.406,246276,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,131.72.156.0/24,7.933,19675516,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,131.72.156.0/24,0.817,711084,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,131.72.156.0/24,0.407,246276,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,136.147.186.0/24,8.621,19817974,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,136.147.186.0/24,1.057,958692,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,136.147.186.0/24,0.453,246276,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,141.101.143.0/24,6.849,20402412,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,141.101.143.0/24,1.277,1387300,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,uncomp,141.101.143.0/24,0.528,396868,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
0,0,none,146.120.97.0/24,6.873,20738758,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
1,1024,comp,146.120.97.0/24,1.436,1815908,http://data.ris.ripe.net/rrc19/2018.01/bview.20180101.0000.gz,
